"Idade","Data","Referência (l)","Consumo automático (l)","Relação","Consumo automático sem flushing (l)","Relação","Consumo manual (l)","Relação"
"42","2025-10-01T03:00:00","17814.784","","","","","",""
"41","2025-09-30T03:00:00","17386.544","","","","","",""
"40","2025-09-29T03:00:00","16872.656","","","","","",""
"39","2025-09-28T03:00:00","16687.552","","","","","",""
"38","2025-09-27T03:00:00","16536.84","","","","","",""
"37","2025-09-26T03:00:00","16289.88","","","","","",""
"36","2025-09-25T03:00:00","16046.212","","","","","",""
"35","2025-09-24T03:00:00","15862.264","","","","","",""
"34","2025-09-23T03:00:00","15742.734","","","","","",""
"33","2025-09-22T03:00:00","15546.204","","","","","",""
"32","2025-09-21T03:00:00","15242.2","","","","","",""
"31","2025-09-20T03:00:00","15019.98","","","","","",""
"30","2025-09-19T03:00:00","14789.848","","","","","",""
"29","2025-09-18T03:00:00","14451.84","","","","","",""
"28","2025-09-17T03:00:00","14108.64","","","","","",""
"27","2025-09-16T03:00:00","13576.2","","","","","",""
"26","2025-09-15T03:00:00","13045.248","","","","","",""
"25","2025-09-14T03:00:00","12420.694","","","","","",""
"24","2025-09-13T03:00:00","12068.686","","","","","",""
"23","2025-09-12T03:00:00","11621.12","","","","","",""
"22","2025-09-11T03:00:00","11174.058","","","","","",""
"21","2025-09-10T03:00:00","10724.076","","","","","",""
"20","2025-09-09T03:00:00","10365.108","","","","","",""
"19","2025-09-08T03:00:00","10006.26","","","","","",""
"18","2025-09-07T03:00:00","9376.296","","","","","",""
"17","2025-09-06T03:00:00","8289.008","","","","","",""
"16","2025-09-05T03:00:00","7747.75","","","","","",""
"15","2025-09-04T03:00:00","7115.784","","","","","",""
"14","2025-09-03T03:00:00","6752.056","","","","","",""
"13","2025-09-02T03:00:00","6570.864","","","","","",""
"12","2025-09-01T03:00:00","5842.56","","","","","",""
"11","2025-08-31T03:00:00","5205.24","","","","","",""
"10","2025-08-30T03:00:00","4567.7","","","","","",""
"9","2025-08-29T03:00:00","3929.598","","","","","",""
"8","2025-08-28T03:00:00","3382.466","","","","","",""
"7","2025-08-27T03:00:00","3200.96","","","","","",""
"6","2025-08-26T03:00:00","2836.934","","","","","",""
"5","2025-08-25T03:00:00","2474.064","","","","","",""
"4","2025-08-24T03:00:00","2017.224","","","","","",""
"3","2025-08-23T03:00:00","1651.788","","","","","",""
"2","2025-08-22T03:00:00","1285.984","","","","","",""
"1","2025-08-21T03:00:00","1011.23","","","","","",""
"0","2025-08-20T03:00:00","0","","","","","",""