"Idade","Data","Referência (g)","Peso automático (g/ave)","Relação","Peso manual (g/ave)","Relação"
"42","2025-10-01T03:00:00","3022.298","","","",""
"41","2025-09-30T03:00:00","2922.968","2785.1276076153704","","",""
"40","2025-09-29T03:00:00","2823.681","2769.9072277203154","","",""
"39","2025-09-28T03:00:00","2724.351","2655.0404421676544","","",""
"38","2025-09-27T03:00:00","2624.032","2563.755797999651","","",""
"37","2025-09-26T03:00:00","2524.702","2502.4937808957975","","",""
"36","2025-09-25T03:00:00","2425.415","2462.901456125321","","",""
"35","2025-09-24T03:00:00","2327.117","2310.0474923697516","","",""
"34","2025-09-23T03:00:00","2228.819","2209.9401156107583","","",""
"33","2025-09-22T03:00:00","2130.564","2148.173150808915","","",""
"32","2025-09-21T03:00:00","2033.298","1992.431186385207","","",""
"31","2025-09-20T03:00:00","1937.064","1939.934953934393","","",""
"30","2025-09-19T03:00:00","1840.83","1829.9834257230739","","",""
"29","2025-09-18T03:00:00","1746.617","1697.5574186295369","","",""
"28","2025-09-17T03:00:00","1653.436","1589.608467449831","","",""
"27","2025-09-16T03:00:00","1561.33","1531.8218200923282","","",""
"26","2025-09-15T03:00:00","1470.17","1456.4520467789037","","",""
"25","2025-09-14T03:00:00","1381.117","1393.9461465104482","","",""
"24","2025-09-13T03:00:00","1294.085","1290.4772746511649","","",""
"23","2025-09-12T03:00:00","1208.085","1199.3580977201582","","",""
"22","2025-09-11T03:00:00","1124.149","1127.6314746605958","","",""
"21","2025-09-10T03:00:00","1042.234","1049.9210364061364","","",""
"20","2025-09-09T03:00:00","963.415","947.9154162096592","","",""
"19","2025-09-08T03:00:00","885.585","870.0895969464099","","",""
"18","2025-09-07T03:00:00","810.851","796.4903362507516","","",""
"17","2025-09-06T03:00:00","739.17","706.8784275479549","","",""
"16","2025-09-05T03:00:00","669.553","646.217629875505","","",""
"15","2025-09-04T03:00:00","603.032","587.4920973126938","","",""
"14","2025-09-03T03:00:00","540.553","518.0762669924993","","",""
"13","2025-09-02T03:00:00","480.181","450.3383959368836","","",""
"12","2025-09-01T03:00:00","423.851","402.7908338404899","","",""
"11","2025-08-31T03:00:00","370.617","353.04162639644886","","",""
"10","2025-08-30T03:00:00","320.436","310.9238911963245","","",""
"9","2025-08-29T03:00:00","275.415","263.9324830301174","","",""
"8","2025-08-28T03:00:00","233.447","229.5037336519532","","",""
"7","2025-08-27T03:00:00","197.585","201.11170592650058","","",""
"6","2025-08-26T03:00:00","166.883","166.95687207814524","","",""
"5","2025-08-25T03:00:00","137.17","143.3819213083812","","",""
"4","2025-08-24T03:00:00","111.585","119.29556727409363","","",""
"3","2025-08-23T03:00:00","92.149","99.00233149528503","","",""
"2","2025-08-22T03:00:00","75.766","","","",""
"1","2025-08-21T03:00:00","64.5","","","",""
"0","2025-08-20T03:00:00","43","","","43",""