"Idade","Data","Referência (kg)","Ração automática (kg)","Relação","Ração manual (kg)","Relação"
"42","2025-10-01T03:00:00","8907.392","168","","9161.112761152142",""
"41","2025-09-30T03:00:00","8693.272","5094","","8946.063165819933",""
"40","2025-09-29T03:00:00","8436.328","8395","","8814.212690834298",""
"39","2025-09-28T03:00:00","8343.776","8385","","8610.29126916189",""
"38","2025-09-27T03:00:00","8268.42","8343","","8488.196781049697",""
"37","2025-09-26T03:00:00","8144.94","7418","","8356.255898442707",""
"36","2025-09-25T03:00:00","8023.106","8251","","8235.079549951843",""
"35","2025-09-24T03:00:00","7931.132","9137","","8128.9168937808345",""
"34","2025-09-23T03:00:00","7871.367","9259","","7994.923758169062",""
"33","2025-09-22T03:00:00","7773.102","6675","","7941.51093547192",""
"32","2025-09-21T03:00:00","7621.1","8493","","7834.350781878617",""
"31","2025-09-20T03:00:00","7509.99","6808","","7678.158557107436",""
"30","2025-09-19T03:00:00","7394.924","7899","","7562.960161446456",""
"29","2025-09-18T03:00:00","7225.92","7675","","7438.795338805211",""
"28","2025-09-17T03:00:00","7054.32","7005","","7266.683336442358",""
"27","2025-09-16T03:00:00","6788.1","6979","","7090.344275516548",""
"26","2025-09-15T03:00:00","6522.624","5559","","6823.967259953141",""
"25","2025-09-14T03:00:00","6210.347","6702","","6556.071396350953",""
"24","2025-09-13T03:00:00","6034.343","6429","","6242.878300862016",""
"23","2025-09-12T03:00:00","5810.56","6836","","6067.551805295393",""
"22","2025-09-11T03:00:00","5587.029","6463","","5839.448353968499",""
"21","2025-09-10T03:00:00","5362.038","5314","","5613.568930126962",""
"20","2025-09-09T03:00:00","5182.554","4943","","5387.745759916492",""
"19","2025-09-08T03:00:00","5003.13","5078","","5207.629669476252",""
"18","2025-09-07T03:00:00","4688.148","5967","","5028.552262152481",""
"17","2025-09-06T03:00:00","4144.504","3962","","4711.450543833584",""
"16","2025-09-05T03:00:00","3873.875","4810","","4165.377461022775",""
"15","2025-09-04T03:00:00","3557.892","4001","","3894.0672029207076",""
"14","2025-09-03T03:00:00","3376.028","4384","","3574.0061417960906",""
"13","2025-09-02T03:00:00","3285.432","3614","","3391.3927919481716",""
"12","2025-09-01T03:00:00","2921.28","3461","","3300.746092660111",""
"11","2025-08-31T03:00:00","2602.62","3449","","2934.9608747701186",""
"10","2025-08-30T03:00:00","2283.85","3374.11","","2614.9229178154037",""
"9","2025-08-29T03:00:00","1964.799","2960.78","","2294.595656472349",""
"8","2025-08-28T03:00:00","1691.233","2547.16","","1974.0433806050307",""
"7","2025-08-27T03:00:00","1600.48","2192.66","","1699.301651007939",""
"6","2025-08-26T03:00:00","1418.467","2075.45","","1610.5414574188412",""
"5","2025-08-25T03:00:00","1237.032","1840.63","","1427.4137886583192",""
"4","2025-08-24T03:00:00","1054.458","1604.17","","1243.2313643153104",""
"3","2025-08-23T03:00:00","963.543","1367.62","","1059.903794258679",""
"2","2025-08-22T03:00:00","780.776","1249.92","","969.468046087116",""
"1","2025-08-21T03:00:00","597.545","1012.66","","784.8074658800463",""
"0","2025-08-20T03:00:00","0","774.84","","600.4994753962651",""