"Idade","Data","Mortalidade (un)","Mortalidade (%)","Referência (%)","Relação"
"42","2025-10-01T03:00:00","","","0.15",""
"41","2025-09-30T03:00:00","","","0.15",""
"40","2025-09-29T03:00:00","408","0.9527367831122735","0.15",""
"39","2025-09-28T03:00:00","286","0.6615470022205774","0.15",""
"38","2025-09-27T03:00:00","272","0.6250287237464957","0.15",""
"37","2025-09-26T03:00:00","293","0.6691025348253026","0.15",""
"36","2025-09-25T03:00:00","225","0.510400834788921","0.15",""
"35","2025-09-24T03:00:00","163","0.3678793897264602","0.05",""
"34","2025-09-23T03:00:00","202","0.45422859841244856","0.05",""
"33","2025-09-22T03:00:00","157","0.35144270588498644","0.05",""
"32","2025-09-21T03:00:00","140","0.31229087664510374","0.05",""
"31","2025-09-20T03:00:00","121","0.2690682677340449","0.05",""
"30","2025-09-19T03:00:00","71","0.15745935996096783","0.05",""
"29","2025-09-18T03:00:00","58","0.12842655329701963","0.05",""
"28","2025-09-17T03:00:00","34","0.07518796992481203","0.05",""
"27","2025-09-16T03:00:00","42","0.09280947540548902","0.05",""
"26","2025-09-15T03:00:00","35","0.07726951607205934","0.05",""
"25","2025-09-14T03:00:00","40","0.08823983587390527","0.05",""
"24","2025-09-13T03:00:00","24","0.05289722509973331","0.05",""
"23","2025-09-12T03:00:00","28","0.06168080185042406","0.05",""
"22","2025-09-11T03:00:00","18","0.03962750148603131","0.05",""
"21","2025-09-10T03:00:00","20","0.04401311590854075","0.05",""
"20","2025-09-09T03:00:00","22","0.048393128175799036","0.05",""
"19","2025-09-08T03:00:00","33","0.07255458083239892","0.05",""
"18","2025-09-07T03:00:00","28","0.061516829246858244","0.05",""
"17","2025-09-06T03:00:00","31","0.06806604602142982","0.05",""
"16","2025-09-05T03:00:00","39","0.08557323093801426","0.05",""
"15","2025-09-04T03:00:00","8","0.017538475029596177","0.05",""
"14","2025-09-03T03:00:00","9","0.019727324536407874","0.05",""
"13","2025-09-02T03:00:00","14","0.030680896758782408","0.05",""
"12","2025-09-01T03:00:00","15","0.03286230693394676","0.05",""
"11","2025-08-31T03:00:00","17","0.03723171265878231","0.05",""
"10","2025-08-30T03:00:00","16","0.035028570177551066","0.05",""
"9","2025-08-29T03:00:00","16","0.03501630446676734","0.05",""
"8","2025-08-28T03:00:00","19","0.04156730621978166","0.05",""
"7","2025-08-27T03:00:00","29","0.0634184744576627","0.15",""
"6","2025-08-26T03:00:00","59","0.12894201980024914","0.15",""
"5","2025-08-25T03:00:00","30","0.06547930853850184","0.15",""
"4","2025-08-24T03:00:00","37","0.08070496880862016","0.15",""
"3","2025-08-23T03:00:00","45","0.0980755399603339","0.15",""
"2","2025-08-22T03:00:00","37","0.08056087789583696","0.15",""
"1","2025-08-21T03:00:00","27","0.05874034591537039","0.15",""
"0","2025-08-20T03:00:00","","","0.15",""